n,mergeSort,quickSort
225,0.0004149,0.0020715
226,0.0004145,0.0019512
227,0.000382,0.0020793
228,0.0004195,0.0019878
229,0.0004209,0.0020513
230,0.000424,0.0020123
231,0.0004152,0.0020852
232,0.0004265,0.0020347
233,0.0004287,0.0021556
234,0.0007863,0.0021212
235,0.0006939,0.0020915
236,0.0004301,0.0021718
237,0.0004278,0.0021317
238,0.0004341,0.0021806
239,0.0004302,0.0021558
240,0.0004489,0.0021624
241,0.0004361,0.0022737
242,0.0008656,0.0022599
243,0.0004421,0.0022458
244,0.0004162,0.0022004
245,0.0004403,0.0022818
246,0.0008774,0.0022926
247,0.0006333,0.0022807
248,0.0005203,0.0023318
249,0.0004692,0.0023562
250,0.0004547,0.002328
251,0.0004465,0.002338
252,0.0004596,0.0024704
253,0.0004607,0.0023698
254,0.0004646,0.0024459
255,0.0004686,0.0024944
256,0.0004443,0.0024242
257,0.0004741,0.0025023
258,0.0004716,0.0024962
259,0.0004743,0.0026088
260,0.0004919,0.0025267
261,0.0004777,0.0025815
262,0.000474,0.002615
263,0.0004919,0.0026017
264,0.0004846,0.0026042
265,0.000492,0.0026125
266,0.0004888,0.0026779
267,0.000489,0.0026257
268,0.0005038,0.0026651
269,0.000498,0.0026929
270,0.0004932,0.0027284
271,0.0004952,0.002652
272,0.0005323,0.0027407
273,0.0005042,0.0028073
274,0.0005101,0.0027359
275,0.0005009,0.0027649
276,0.0005118,0.0028484
277,0.0005103,0.0028173
278,0.0004753,0.0028732
279,0.0005447,0.0027974
280,0.0005117,0.0029291
281,0.0010327,0.0030157
282,0.0004835,0.0029278
283,0.0005348,0.002945
284,0.0005069,0.0031362
285,0.0005286,0.0030705
286,0.000521,0.003033
287,0.0005263,0.0030553
288,0.0005186,0.0031157
289,0.0008568,0.0032734
290,0.0005398,0.0031294
291,0.0005342,0.0031762
292,0.0005296,0.0031983
293,0.0005738,0.0031835
294,0.000551,0.0031886
295,0.0005476,0.0032814
296,0.0005509,0.0032221
297,0.0005387,0.003396
298,0.0005479,0.0032297
299,0.0005418,0.0032977
300,0.0005459,0.0033244
301,0.0005538,0.0033607
302,0.0005531,0.0033431
303,0.0005504,0.0032878
304,0.0005454,0.0033218
305,0.0005517,0.0035072
306,0.0005565,0.0034822
307,0.000565,0.0042927
308,0.0006425,0.003557
309,0.0005556,0.0034898
310,0.0005649,0.0035872
311,0.0005661,0.0035595
312,0.00057,0.0036474
313,0.0005611,0.0035384
314,0.0006367,0.0035364
315,0.0005742,0.0037773
316,0.0011036,0.0038288
317,0.000554,0.003706
318,0.000583,0.0037164
319,0.0006463,0.00375
320,0.000579,0.0040007
321,0.0005606,0.0037385
322,0.0005886,0.003758
323,0.0005844,0.003801
324,0.0005844,0.0038759
325,0.0005766,0.0040261
326,0.0005906,0.0039143
327,0.0005937,0.0038376
328,0.0005914,0.0039161
329,0.0006113,0.003924
330,0.000605,0.0040186
331,0.0006005,0.0041038
332,0.000664,0.0041792
333,0.0006367,0.0040041
334,0.0006119,0.0042756
335,0.0005965,0.0040179
336,0.0006115,0.0041145
337,0.0006186,0.004137
338,0.0006142,0.0043409
339,0.0006174,0.0043233
340,0.0006258,0.0042144
341,0.0006015,0.0042051
342,0.0006181,0.0044146
343,0.0006236,0.0045055
344,0.0006263,0.0044734
345,0.0006244,0.0044675
346,0.0006231,0.0043622
347,0.0006335,0.0044977
348,0.0006299,0.0044711
349,0.0006837,0.0044435
350,0.0006321,0.004409
351,0.0006349,0.00464
352,0.0006104,0.0044946
353,0.000664,0.004554
354,0.0006124,0.0045376
355,0.0006889,0.0045235
356,0.0006473,0.0045438
357,0.0006619,0.0048304
358,0.000651,0.0046224
359,0.0006565,0.0047605
360,0.0006705,0.0048009
361,0.0006681,0.0048057
362,0.0006653,0.0047842
363,0.0006665,0.0049802
364,0.0006768,0.0047849
365,0.0006682,0.0051017
366,0.0007675,0.0048541
367,0.0006713,0.0049289
368,0.000732,0.0049989
369,0.0006699,0.0051984
370,0.0006816,0.0051783
371,0.0012104,0.0051549
372,0.0006694,0.0051611
373,0.0006841,0.0053356
374,0.0007006,0.0051499
375,0.000748,0.0052979
376,0.0006834,0.0053172
377,0.0012132,0.0053852
378,0.0007014,0.0053702
379,0.0007121,0.0053238
380,0.0006921,0.0052778
381,0.0006963,0.0075187
382,0.0009288,0.0056853
383,0.0007065,0.0054398
384,0.00069,0.0054354
385,0.0007008,0.0054517
386,0.0007044,0.0053961
387,0.0006969,0.0056206
388,0.0006924,0.0061726
389,0.0006827,0.0057375
390,0.0007111,0.0060718
391,0.0008758,0.0070123
392,0.0013058,0.0061335
393,0.0008653,0.0095166
394,0.0012032,0.0071516
395,0.0007268,0.0067275
396,0.0007583,0.0078844
397,0.0013494,0.0066119
398,0.0007665,0.0070188
399,0.0008403,0.0070384
400,0.0012269,0.0071782
401,0.0007181,0.006103
402,0.0011667,0.0065905
403,0.0007135,0.0060468
404,0.0007293,0.0060887
405,0.0008209,0.0062699
406,0.0007164,0.0060434
407,0.0007887,0.006356
408,0.0007401,0.006313
409,0.000723,0.0063624
410,0.0007441,0.0062931
411,0.0007987,0.0073414
412,0.0007263,0.0063319
413,0.000764,0.0064482
414,0.0010204,0.0063918
415,0.0011342,0.0063305
416,0.0007509,0.0063224
417,0.0007654,0.0063889
418,0.0008058,0.0064521
419,0.0007983,0.0066477
420,0.0007967,0.006583
421,0.0007765,0.0065407
422,0.0009192,0.0068898
423,0.0008454,0.0065324
424,0.0009485,0.0066129
425,0.0011038,0.0066107
426,0.0009692,0.0067846
427,0.0007692,0.006678
428,0.0008512,0.0068271
429,0.0007886,0.0067527
430,0.0008797,0.006846
431,0.000786,0.0068631
432,0.0009691,0.0069882
433,0.000794,0.0073912
434,0.0007854,0.0070616
435,0.0008002,0.006995
436,0.0008248,0.0070672
437,0.000805,0.0070968
438,0.000805,0.0071615
439,0.0007886,0.0070544
440,0.0008142,0.0074884
441,0.0008489,0.0072864
442,0.0008077,0.0073462
443,0.0008113,0.0071806
444,0.000902,0.0073077
445,0.0008492,0.0072863
446,0.0013956,0.0073271
447,0.0008372,0.0073153
448,0.0008215,0.0073526
449,0.0013737,0.0074994
450,0.0008443,0.0076017
451,0.0008069,0.0078551
452,0.0007991,0.0081503
453,0.000848,0.0075628
454,0.000809,0.0085966
455,0.0008272,0.009492
456,0.0008967,0.0083746
457,0.0008157,0.0080648
458,0.0008978,0.0078291
459,0.0008871,0.0078212
460,0.0008516,0.0080565
461,0.0008434,0.0079833
