n,mergeSort,quickSort
225,0.000431,0.0019141
226,0.000397,0.0019398
227,0.0004567,0.0019484
228,0.0004249,0.0020355
229,0.0003981,0.001971
230,0.0004591,0.0022084
231,0.000406,0.0020033
232,0.0004037,0.0020368
233,0.000405,0.0020492
234,0.0004104,0.0024234
235,0.0004447,0.0020619
236,0.0004141,0.0020927
237,0.000426,0.0021008
238,0.0004901,0.0022675
239,0.0004203,0.0022167
240,0.0004165,0.0026226
241,0.0004226,0.0021405
242,0.0004212,0.0021767
243,0.0004246,0.002211
244,0.0004231,0.0022606
245,0.0004893,0.0026922
246,0.0004311,0.002361
247,0.0004407,0.0024045
248,0.0004355,0.0023752
249,0.0004339,0.0023803
250,0.0004366,0.0026636
251,0.0004369,0.0024264
252,0.0004367,0.0024403
253,0.0004386,0.0024556
254,0.0004455,0.0025122
255,0.0004451,0.0025955
256,0.000444,0.0025225
257,0.0004489,0.002532
258,0.0004515,0.0025769
259,0.0004541,0.0025297
260,0.0004514,0.0027367
261,0.0004595,0.0026356
262,0.0004621,0.0026066
263,0.0004602,0.0026428
264,0.0004632,0.0026763
265,0.0004633,0.0033012
266,0.0009515,0.0026808
267,0.0004697,0.0027395
268,0.0004733,0.0027123
269,0.0005111,0.0029168
270,0.0004766,0.0028871
271,0.0004759,0.0028083
272,0.0004784,0.0028075
273,0.0004795,0.002848
274,0.0011423,0.0036034
275,0.0010767,0.0037916
276,0.00049,0.0044919
277,0.0004876,0.0036589
278,0.0009708,0.0034685
279,0.0005013,0.003385
280,0.0008627,0.0034677
281,0.0004977,0.0029957
282,0.0005329,0.0029882
283,0.000502,0.0030165
284,0.000503,0.0031352
285,0.0005043,0.0030565
286,0.0005069,0.0031705
287,0.0005115,0.0031596
288,0.0005068,0.0032291
289,0.0005098,0.0032247
290,0.0005121,0.0032049
291,0.0005208,0.0032116
292,0.0005198,0.0034258
293,0.0005214,0.0032579
294,0.0005238,0.0033096
295,0.0005249,0.0033951
296,0.0005217,0.0035133
297,0.0005252,0.0035372
298,0.0005311,0.0034909
299,0.0005314,0.0035432
300,0.0005342,0.0041089
301,0.0005383,0.0035931
302,0.0005494,0.0034357
303,0.0005432,0.0035407
304,0.0005397,0.0034511
305,0.0005469,0.0035188
306,0.0005634,0.0036815
307,0.0005493,0.0039322
308,0.0005476,0.0036403
309,0.0005512,0.0035861
310,0.0005516,0.0035691
311,0.0008903,0.0036573
312,0.0005592,0.003623
313,0.0005672,0.0037118
314,0.000561,0.0037048
315,0.0005591,0.0037359
316,0.0005698,0.0037272
317,0.0005665,0.0037567
318,0.0011363,0.0037569
319,0.0005728,0.0039597
320,0.0006076,0.003824
321,0.0005751,0.0055688
322,0.0007716,0.0058395
323,0.0006985,0.0056852
324,0.0005799,0.0043983
325,0.0006204,0.0053424
326,0.0009254,0.0056625
327,0.0010238,0.0047462
328,0.0009276,0.0060847
329,0.0013164,0.0056543
330,0.0005899,0.0051336
331,0.0005931,0.0061593
332,0.0005944,0.0059084
333,0.0013403,0.0058722
334,0.0009914,0.0060973
335,0.000598,0.006497
336,0.0007333,0.0055695
337,0.0006017,0.0065888
338,0.0008161,0.0056133
339,0.0006068,0.0051534
340,0.0006094,0.0062369
341,0.0006969,0.005229
342,0.0009762,0.0064645
343,0.0007711,0.0062625
344,0.0011457,0.0076616
345,0.0012897,0.0060564
346,0.0007954,0.0064495
347,0.0007249,0.0062586
348,0.0006225,0.0071546
349,0.0009069,0.0066389
350,0.0006373,0.0070714
351,0.0006291,0.0061077
352,0.0006301,0.008078
353,0.0006375,0.0055428
354,0.0011505,0.0076319
355,0.0006541,0.0074392
356,0.0006388,0.0071126
357,0.0006411,0.0058724
358,0.0006407,0.0068595
359,0.0014623,0.0069092
360,0.0011346,0.0063007
361,0.000819,0.0070748
362,0.0010637,0.0069902
363,0.0014779,0.0077355
364,0.0008272,0.0074654
365,0.0007209,0.0062114
366,0.0010342,0.0072773
367,0.0006589,0.0059558
368,0.0006582,0.0077113
369,0.0013352,0.0061513
370,0.0010757,0.0077496
371,0.0015824,0.0078163
372,0.0016267,0.0075394
373,0.0010752,0.0062179
374,0.0007454,0.0060024
375,0.0007235,0.0058103
376,0.0011414,0.0060032
377,0.0012242,0.0088645
378,0.0008042,0.0061361
379,0.0007435,0.0060654
380,0.0007449,0.005806
381,0.0006971,0.005812
382,0.0007342,0.0057738
383,0.0007299,0.0059271
384,0.0007459,0.0070192
385,0.0008167,0.0066688
386,0.0007525,0.0072935
387,0.0007774,0.0066722
388,0.0007729,0.0064341
389,0.0007761,0.0061646
390,0.0007764,0.0067626
391,0.0007779,0.0062054
392,0.0008966,0.0066021
393,0.0007338,0.005789
394,0.0007153,0.0075199
395,0.000742,0.0061353
396,0.000771,0.0064113
397,0.0007276,0.0060282
398,0.0007219,0.0060139
399,0.0013638,0.0064325
400,0.0007291,0.0060354
401,0.0007389,0.0067385
402,0.0007548,0.006041
403,0.000746,0.0062525
404,0.000767,0.0061161
405,0.0007484,0.00646
406,0.0007652,0.006277
407,0.0007896,0.0068243
408,0.0007747,0.0063336
409,0.0007573,0.0063682
410,0.0007811,0.0065169
411,0.0007586,0.0065592
412,0.0007792,0.0065925
413,0.0007607,0.0065709
414,0.0007658,0.0066064
415,0.0007636,0.007349
416,0.0008087,0.0065651
417,0.0007725,0.00678
418,0.0007791,0.006715
419,0.0008319,0.0072885
420,0.000778,0.0067683
421,0.0008012,0.0072884
422,0.0007799,0.0071818
423,0.0007653,0.0070826
424,0.0008005,0.0070199
425,0.0007878,0.0074624
426,0.0008145,0.0070684
427,0.0008134,0.0073409
428,0.0008201,0.0071915
429,0.0015232,0.0072383
430,0.0007994,0.0072505
431,0.0007947,0.0074998
432,0.0008009,0.0079427
433,0.0007983,0.0076639
434,0.0008104,0.0074825
435,0.0008588,0.007325
436,0.0008113,0.0077734
437,0.0008134,0.007701
438,0.0009465,0.0098121
439,0.0008697,0.0074368
440,0.0008199,0.0077581
441,0.001248,0.0088351
442,0.000823,0.0100618
443,0.0010293,0.0102262
444,0.0008338,0.0093858
445,0.0013597,0.0096776
446,0.0008787,0.011438
447,0.001504,0.0097229
448,0.0010159,0.0098271
449,0.0012209,0.0107596
450,0.0008427,0.0088088
451,0.0018921,0.0102609
452,0.0011785,0.0087903
453,0.0017103,0.0107648
454,0.0016224,0.010973
455,0.0014974,0.0108117
456,0.0008697,0.0103398
457,0.0019548,0.0103409
458,0.0008623,0.0102792
459,0.0008664,0.0094
460,0.0016362,0.0098951
461,0.0015866,0.0097072
462,0.0011144,0.0099297
463,0.0016707,0.0101028
464,0.00185,0.0100912
465,0.0008771,0.0098559
466,0.0011942,0.0096311
467,0.0014109,0.0100781
468,0.0016051,0.0098801
469,0.0014265,0.0102462
470,0.001468,0.0105045
471,0.0008798,0.0097382
472,0.0009499,0.0106883
473,0.0008954,0.0109491
474,0.0011116,0.0104042
475,0.0009453,0.0125051
476,0.0009633,0.0122629
477,0.0010672,0.0096754
478,0.0009659,0.0088601
479,0.0008817,0.0088793
480,0.0008808,0.008995
481,0.0012665,0.0098285
482,0.0009343,0.009416
483,0.000956,0.0090029
484,0.0008857,0.009658
485,0.0008958,0.0090733
486,0.000905,0.009278
487,0.0008907,0.00923
488,0.000978,0.0091673
489,0.0009668,0.009123
490,0.0009473,0.009077
491,0.000909,0.0092175
492,0.0009034,0.0092311
493,0.0009082,0.0092911
494,0.0009132,0.0092839
495,0.0009148,0.0095729
