n,mergeSort,quickSort
224,0.0004468,0.0003102
225,0.0004495,0.0003159
226,0.0004471,0.0003339
227,0.0004484,0.0003261
228,0.0004549,0.0003242
229,0.0004539,0.0003448
230,0.0004568,0.0003557
231,0.0004644,0.0003228
232,0.0004657,0.0003505
233,0.0004643,0.0003299
234,0.0004649,0.0004488
235,0.0004844,0.0003352
236,0.0004734,0.0003422
237,0.0004735,0.0003345
238,0.0004759,0.0003406
239,0.0004768,0.0003533
240,0.0004818,0.0003381
241,0.0004845,0.0003487
242,0.0004817,0.0003605
243,0.0004915,0.0003579
244,0.0004913,0.0003522
245,0.0004945,0.0003577
246,0.0004933,0.0003434
247,0.0004949,0.0004373
248,0.0006145,0.0003718
249,0.0005,0.000391
250,0.0005019,0.0003575
251,0.0005052,0.0003659
252,0.0005086,0.0003677
253,0.0005107,0.0003641
254,0.0005141,0.0003735
255,0.0005156,0.000372
256,0.0005184,0.0003794
257,0.0005175,0.0003718
258,0.0005215,0.0003802
259,0.0005389,0.0003788
260,0.0005243,0.0003818
261,0.0005351,0.0003914
262,0.00053,0.0004159
263,0.0005405,0.0003886
264,0.0005383,0.0003904
265,0.0005401,0.0003895
266,0.0005439,0.0003861
267,0.0005532,0.0003868
268,0.0005438,0.0003824
269,0.0005484,0.0004115
270,0.0005552,0.0003913
271,0.0005535,0.000583
272,0.0005913,0.0004037
273,0.0005565,0.0003984
274,0.0005616,0.0004332
275,0.0005616,0.000398
276,0.0005644,0.0003976
277,0.000579,0.000413
278,0.0005655,0.0004081
279,0.0006184,0.0003874
280,0.0005778,0.0004162
281,0.0005788,0.0004035
282,0.0005791,0.0004461
283,0.0005807,0.000421
284,0.0005855,0.0004588
285,0.0005827,0.0004205
286,0.0005896,0.0004228
287,0.0005474,0.0003879
288,0.0005486,0.0003947
289,0.0005538,0.0004287
290,0.000552,0.00046
291,0.00056,0.0003816
292,0.0005548,0.0003821
293,0.0005588,0.0004037
294,0.0005986,0.0004086
295,0.0005625,0.0003974
296,0.0005712,0.0003927
297,0.0005696,0.0004398
298,0.000584,0.000402
299,0.0005747,0.000464
300,0.0005787,0.0004072
301,0.0006123,0.000467
302,0.0005781,0.0004668
303,0.0005787,0.0004455
304,0.0005828,0.0004065
